seller,product_url,commercial_residential,breadth,sub_category,pallet_quantity,thickness,description,created_at,container_quantity,taxonomy,purl,title,cell,manufacturer,cell_technology,ledger_alias,min_wattage,updated_at,product_id,variant,wattage_per_panel,dimension_or_size,sku,channel_name,product_document,image_url,max_wattage,weight,data_source_type,handle,data_source,enable_purl,seller_alias,name,category,frame,module_per_pallet,module_per_container,protection,price,feature_products,max_price,min_price,operating_range_min,efficiency,peak_output_power,operating_range_max,communication_type,is_inventory,color
Inxeption Marketplace,,Residential,1029,Solar Panels,36.0 / pallet,30,"<h3>JKM365N-6TL3-B</h3><h3><span style='color:#000'>Product Description</span></h3>Multi Busbar Technology. MBB solar cell adopts new technology to improve the efficiency of modules, offers a better aesthetic appearance. PID Resistance. Excellent Anti-PID performance guarantee via optimized mass-production process and materials control. Durability Against Extreme Environmental Conditions. High salt mist and ammonia resistance. Hot 2.0 Technology. The N-type module with Hot 2.0 technology has better reliability and lower LID/LETID. Enhanced Mechanical Load. Certified to withstand: wind load (2400 Pascal) and snow load (5400 Pascal).",2023-11-09T08:37:35Z,936 / 40ft HQ Container,Solar & Energy Storage >> Solar Panels >> ,https://inxeptionmarketplace-crate.inxeption.com/purl/inxeptionenergymarketplace-tiger-n-type-60tr-355-375-watt-mono-facial-all-black-365w-,,120,Jinko Solar,N-type Monocrystalline,inxeptionmarketplace-app,365,2023-11-09T08:37:35Z,cldc5771sgorm0872m90rb7ji,,365,1692,JKM365N-6TL3-B,inxeptionenergymarketplace,https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/990b2600-600b-4e98-baba-3ce1d9ebf556/Tiger%20N-Type%2060TR.%20355-375%20Watt.%20Mono-Facial.%20All%20Black.%20%28365W%29_data.pdf,['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/4d8dfb27-0e8f-4180-b383-fe26dedfc7e4/Tiger%20N-Type%2060TR.%20355-375%20Watt.%20Mono-Facial.%20All%20Black.%20%28365W%29_img.jpg'],365,8.62,Products,inxeptionenergymarketplace-tiger-n-type-60tr-355-375-watt-mono-facial-all-black-365w-,https://inxeptionmarketplace-app.inxeption.io,TRUE,inxeptionmarketplace-app,Tiger N-Type 60TR. 355-375 Watt. Mono-Facial. All Black. (365W),Solar & Energy Storage,Silver,,,,,,,,,,,,,,
Inxeption Marketplace,,Commercial,1032,Solar Panels,27.0 / pallet,40,"<h3>JKM455M-7RL3-TV</h3><h3><span style='color:#000'>Product Description</span></h3>TR Technology. TR technology eliminates cell gaps to increase module efficiency and power. Bifacial Power Gain. Bifacial cell architecture allows backside bonus and more lifetime power yield. Light-Weight Design. Use of transparent backsheet allows for easy installation and lower BOS cost. Thick and Tough. Fire Type 1 rated module engineered with a thick frame, 3.2mm front side glass, and thick backsheet for added durability. Shade Tolerant. Twin array design allows continued performance even with shading by trees or debris. Protected Against All Environments. Certified to withstand humidity, heat, rain, marine environments, wind, hailstorms, and packed snow.  <br/>",2023-11-09T08:37:35Z,540 / 40ft HQ Container,Solar & Energy Storage >> Solar Panels >> ,https://inxeptionmarketplace-crate.inxeption.com/purl/inxeptionenergymarketplace-eagle-78tr-g4b-445-465-watt-tiling-ribbon-bifacial-module-455w-,,156,Jinko Solar,Tiling Ribbon Bifacial Module,inxeptionmarketplace-app,455,2023-11-09T08:37:35Z,cldc5766agoj30872j770vvtl,,455,2205,JKM455M-7RL3-TV,inxeptionenergymarketplace,https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/8cfe223f-12cd-409c-96d3-15bbc3379a20/Eagle%2078TR%20G4b.%20445-465%20Watt.%20Tiling%20Ribbon%20Bifacial%20Module.%20%20%28455W%29_data.pdf,['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/8a1faab5-b323-491f-861d-db15d644a62f/Eagle%2078TR%20G4b.%20445-465%20Watt.%20Tiling%20Ribbon%20Bifacial%20Module.%20%20%28455W%29_img.jpg'],455,12.02,Products,inxeptionenergymarketplace-eagle-78tr-g4b-445-465-watt-tiling-ribbon-bifacial-module-455w-,https://inxeptionmarketplace-app.inxeption.io,TRUE,inxeptionmarketplace-app,Eagle 78TR G4b. 445-465 Watt. Tiling Ribbon Bifacial Module.  (455W),Solar & Energy Storage,Silver,,,,,,,,,,,,,,
Inxeption Marketplace,,Commercial,1215,Solar Panels,46.0 / pallet,,"<h3>FS-7530A-TR1 - 530</h3><h3><span style='color:#000'>Product Description</span></h3>More Lifetime Energy per Nameplate Watt. Industryxs best (0.3%/yr) warranted degradation rate (>89% power output after 30 years). Superior temperature coefficient, spectral and shading response. Unmatched Quality and Reliability. End-to-end manufacturing process for globally consistent quality. Tested and certified to IEC standards and beyond. Durable glass/glass construction. Immune to and warranted against power loss from cell cracking. 30-year Linear Performance Warranty. 12-year Limited Product Warranty. Optimized Module Design. Optimized back rail mount design enhances installation velocity. Frameless design improves soiling and snow shedding. Dual junction box design reduces wire management complexity and cost. Industryxs Most Eco-efficient PV Solution. Industry leading carbon footprint, water footprint and energy payback time. Globally available PV module recycling services. Americaxs Solar Company. Designed, responsibly sourced, and manufactured in the USA<br/>",2023-11-09T08:37:35Z,10 / 53ft HQ Container,Solar & Energy Storage >> Solar Panels >> ,https://inxeptionmarketplace-crate.inxeption.com/purl/inxeptionenergymarketplace-series-7-tr1-505-540-watt-530w-,,268,First Solar,Thin-film,inxeptionmarketplace-app,530,2023-11-09T08:37:35Z,cldc54jm1gn010872h5xkk014,,530,2300,FS-7530A-TR1 - 530,inxeptionenergymarketplace,https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/552739d6-d248-4b18-a2eb-e2d3f8eb47cd/Series%207%20TR1-%20505%20-%20540%20Watt%20%28530W%29_data.pdf,['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/b78572b7-6ef3-46dd-a7b6-8b74d1ceb6f1/Series%207%20TR1-%20505%20-%20540%20Watt%20%28530W%29_img.jpg'],530,39.7,Products,inxeptionenergymarketplace-series-7-tr1-505-540-watt-530w-,https://inxeptionmarketplace-app.inxeption.io,TRUE,inxeptionmarketplace-app,Series 7 TR1- 505 - 540 Watt (530W),Solar & Energy Storage,Black,,,,,,,,,,,,,,
Inxeption Marketplace,,Residential,1096,Solar Panels,36.0 / pallet,30,"<h3>RSM40-8-395MB</h3><h3><span style='color:#000'>Product Description</span></h3>Global, Tier 1 bankable brand, with independently certified state-of-the-art automated manufacturing. Industry leading lowest thermal co-efficient of power. Industry leading 15 years product warranty. Excellent low irradiance performance. Excellent PID resistance. Positive power tolerance of 0~+3%. Dual stage 100% EL Inspection warranting defect-free product . Module Imp binning radically reduces string mismatch losses. Excellent wind load 2400Pa & snow load 5400Pa under certain installation method. Comprehensive product and system certification. IEC61215:2016; IEC61730-1/-2:2016.  ISO 9001:2015 Quality Management System.  ISO 14001:2015 Environmental Management System.  ISO 45001:2018 Occupational Health and Safety.  Management System<br/>",2023-11-09T08:37:35Z,936 / 40ft HQ Container,Solar & Energy Storage >> Solar Panels >> ,https://inxeptionmarketplace-crate.inxeption.com/purl/inxeptionenergymarketplace-rsm40-8-385mb-405mb-385-405-watt-395w-mb,,120,Risen Energy,Monocrystalline,inxeptionmarketplace-app,395,2023-11-09T08:37:35Z,cldc54ieogmnc0872mkum4kd5,,395,1754,RSM40-8-395MB,inxeptionenergymarketplace,https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/f86e927a-aca8-46e9-86c9-655d21631a19/RSM40-8-385MB-405MB%20-%20385%20-%20405%20Watt%20%28395W%29%20MB_data.pdf,['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/85318385-e960-4a0d-8669-160836e96484/RSM40-8-385MB-405MB%20-%20385%20-%20405%20Watt%20%28395W%29%20MB_img.jpg'],395,22,Products,inxeptionenergymarketplace-rsm40-8-385mb-405mb-385-405-watt-395w-mb,https://inxeptionmarketplace-app.inxeption.io,TRUE,inxeptionmarketplace-app,RSM40-8-385MB-405MB - 385 - 405 Watt (395W) MB,Solar & Energy Storage,Black,,,,,,,,,,,,,,
Inxeption Marketplace,,Residential,1029,Solar Panels,30.0 / pallet,35,"<h3>JKM400M-6RL3-B</h3><h3><span style='color:#000'>Product Description</span></h3>TR Technology. Tiling Ribbon eliminates cell gaps to increase module efficiency and power. 9BB Half Cell Technology. Uniquely designed 9 busbar half cut solar cells deliver ultra-high power in a small footprint. Shade Tolerant. Twin array design allows continued performance even with shading by trees or debris. Thick and tough. Fire Type 1 rated module engineered with a thick frame, 3.2mm front side glass, and thick backsheet for added durability. <br/><br/><h3><span style='color:#000'>Inxeption Energy Solutions</span></h3>Need assistance with a custom order? We can help you find the right solutions for your business. Request a quote or call us at <a href='tel: 1-888-852-4783'>888.852.4783</a> and select option 4.<br/><br/>To learn more about Inxeption Energy, visit <a href='https://energy.inxeption.com'>energy.inxeption.com</a>.<br/><br/>",2023-11-09T08:37:35Z,720 / 40ft HQ Container,Solar & Energy Storage >> Solar Panels >> ,https://inxeptionmarketplace-crate.inxeption.com/purl/inxeptionenergymarketplace-eagle-66tr-g4-380-400-watt-tiling-ribbon-module-400w-,,132,Jinko Solar,Monocrystalline,inxeptionmarketplace-app,400,2023-11-09T08:37:35Z,cldc52b9jgkbo0872zv9vm1ul,,400,1855,JKM400M-6RL3-B,inxeptionenergymarketplace,https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/ebcf9a6b-8782-4709-b36f-3074b8417498/Eagle%2066TR%20G4.%20380-400%20Watt.%20Tiling%20Ribbon%20Module.%20%20%28400W%29_data.pdf,['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/a0fa32b9-fbbd-4a3e-ac70-c95f9dae9dab/Eagle%2066TR%20G4.%20380-400%20Watt.%20Tiling%20Ribbon%20Module.%20%20%28400W%29_img.jpeg'],400,9.75,Products,inxeptionenergymarketplace-eagle-66tr-g4-380-400-watt-tiling-ribbon-module-400w-,https://inxeptionmarketplace-app.inxeption.io,TRUE,inxeptionmarketplace-app,Eagle 66TR G4. 380-400 Watt. Tiling Ribbon Module.  (400W),Solar & Energy Storage,Silver,,,,,,,,,,,,,,
Inxeption Marketplace,,Residential,1016,Solar Panels,24.0 / pallet,30,<h3>REC395AA Pure</h3>,2023-11-09T08:37:35Z,792 / 40ft HQ Container,Solar & Energy Storage >> Solar Panels >> ,https://inxeptionmarketplace-crate.inxeption.com/purl/inxeptionenergymarketplace-rec-alpha-pure-series-390-410-watt-395w-,,132,REC Solar,Half-Cell,inxeptionmarketplace-app,395,2023-11-09T08:37:35Z,cldc51kjegjl90872hjf9snbd,,395,1821,REC395AA Pure,inxeptionenergymarketplace,https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/a3635c3e-cdca-4416-84d3-45a6cc1e579b/REC%20Alpha%20Pure%20Series%20-%20390%20-%20410%20Watt%20%28395W%29_data.pdf,['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/53e15bcd-3293-4eb8-a31d-4ad053216057/REC%20Alpha%20Pure%20Series%20-%20390%20-%20410%20Watt%20%28395W%29_img.jpg'],395,20.5,Products,inxeptionenergymarketplace-rec-alpha-pure-series-390-410-watt-395w-,https://inxeptionmarketplace-app.inxeption.io,TRUE,inxeptionmarketplace-app,REC Alpha Pure Series - 390 - 410 Watt (395W),Solar & Energy Storage,Black,,,,,,,,,,,,,,
Inxeption Marketplace,,Residential,1052,Solar Panels,31.0 / pallet,35,<h3>JAM60S20   -390/MR</h3><h3><span style='color:#000'>Product Description</span></h3>Higher output power . Lower LCOE . Less shading and lower resistive loss . Better mechanical loading tolerance.,2023-11-09T08:37:35Z,806 / 40ft HQ Container,Solar & Energy Storage >> Solar Panels >> ,https://inxeptionmarketplace-crate.inxeption.com/purl/inxeptionenergymarketplace-mono-390w-mbb-half-cell-module-365-390-watt-390w-,,120,JA Solar,Monocrystalline,inxeptionmarketplace-app,390,2023-11-09T08:37:35Z,cldc51i0jgizc08724ewd2rce,,390,1769,JAM60S20   -390/MR,inxeptionenergymarketplace,https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/205a80a6-b11b-4010-ae97-ca0fd76a38a5/Mono%20390W%20MBB%20Half-Cell%20Module%20%20-%20365-390%20Watt%20%28390W%29_data.pdf,['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/f8211b2d-a992-47a1-a49f-0d8a94909a3d/Mono%20390W%20MBB%20Half-Cell%20Module%20%20-%20365-390%20Watt%20%28390W%29_img.jpg'],390,20.5,Products,inxeptionenergymarketplace-mono-390w-mbb-half-cell-module-365-390-watt-390w-,https://inxeptionmarketplace-app.inxeption.io,TRUE,inxeptionmarketplace-app,Mono 390W MBB Half-Cell Module  - 365-390 Watt (390W),Solar & Energy Storage,,,,,,,,,,,,,,,
Inxeption Marketplace,,Commercial,1134,Solar Panels,36.0 / pallet,30,<h3>JKM430N-54HL4-B</h3><h3><span style='color:#000'>Product Description</span></h3>SMBB Technology. Better light trapping and current collection to improve module power output and reliability. Hot 2.0 Technology. The N-type module with Hot 2.0 technology has better reliability and lower LID/LETID. PID Resistance. Excellent Anti-PID performance guarantee via optimized mass-production process and materials control. Enhanced Mechanical Load. Certified to withstand: wind load (2400 Pascal) and snow load (5400 Pascal). Durability Against Extreme Environmental Conditions. High salt mist and ammonia resistance.,2023-11-09T08:37:35Z,936 / 40ft HQ Container,Solar & Energy Storage >> Solar Panels >> ,https://inxeptionmarketplace-crate.inxeption.com/purl/inxeptionenergymarketplace-tiger-neo-n-type-54hl4-v-410-430-watt-mono-facial-module-n-type-430w-,,108,Jinko Solar,N-type Monocrystalline,inxeptionmarketplace-app,430,2023-11-09T08:37:35Z,cldc51dupghwx0872cdyk6w3d,,430,1722,JKM430N-54HL4-B,inxeptionenergymarketplace,https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/7f508d74-68f1-4d33-993e-40eaf0d75ec8/Tiger%20Neo%20N-type%2054HL4%20-%20%28V%29.%20410-430%20Watt.%20Mono-Facial%20Module.%20N-Type.%20%28430W%29_data.pdf,['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/7a677735-d9f7-4306-b159-70e9b5dee69a/Tiger%20Neo%20N-type%2054HL4%20-%20%28V%29.%20410-430%20Watt.%20Mono-Facial%20Module.%20N-Type.%20%28430W%29_img.jpg'],430,9.98,Products,inxeptionenergymarketplace-tiger-neo-n-type-54hl4-v-410-430-watt-mono-facial-module-n-type-430w-,https://inxeptionmarketplace-app.inxeption.io,TRUE,inxeptionmarketplace-app,Tiger Neo N-type 54HL4 - (V). 410-430 Watt. Mono-Facial Module. N-Type. (430W),Solar & Energy Storage,Silver,,,,,,,,,,,,,,
Inxeption Marketplace,,Residential,1134,Solar Panels,36.0 / pallet,30,"<h3>STP400S-C54/Umhb</h3><h3><span style='color:#000'>Product Description</span></h3>High module conversion efficiency . Module efficiency up to 21.0% achieved through advancedcell technology and manufacturing process.. Lower operating temperature. Lower operating temperature and temperature coefficient increases the power output.. Suntech current sorting process. Up to 2%power loss caused by current mismatch could be diminished by current sorting technique to maximize system power output.. Extended wind and snow load tests. Module certified to withstand extreme wind (3800 Pascal) and snow loads (6000 Pascal) *.. Excellent weak light performance. More power output in weak light condition, such as cloudy, morning and sunset.. Withstanding harsh environment. Reliable quality leads to a better sustainability even in harsh environment like desert, farm and coastline.",2023-11-09T08:37:35Z,936 / 40ft HQ Container,Solar & Energy Storage >> Solar Panels >> ,https://inxeptionmarketplace-crate.inxeption.com/purl/inxeptionenergymarketplace-ultra-v-mini-half-cell-monofacial-module-390-410-watt-400w-umhb,,108,Suntech Power,Monocrystalline,inxeptionmarketplace-app,400,2023-11-09T08:37:35Z,cldc4zcbfghib0872rhtgcdah,,400,1722,STP400S-C54/Umhb,inxeptionenergymarketplace,https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/9c8b47e1-5f95-499e-bad2-6386571c6caa/Ultra%20V%20Mini%20Half-cell%20Monofacial%20Module%20-%20390%20-%20410%20Watt%20%28400W%29%20Umhb_data.pdf,['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/9ced1700-d499-484d-9f6b-03aba8b8314d/Ultra%20V%20Mini%20Half-cell%20Monofacial%20Module%20-%20390%20-%20410%20Watt%20%28400W%29%20Umhb_img.jpg'],400,21,Products,inxeptionenergymarketplace-ultra-v-mini-half-cell-monofacial-module-390-410-watt-400w-umhb,https://inxeptionmarketplace-app.inxeption.io,TRUE,inxeptionmarketplace-app,Ultra V Mini Half-cell Monofacial Module - 390 - 410 Watt (400W) Umhb,Solar & Energy Storage,,,,,,,,,,,,,,,
Inxeption Marketplace,,Residential,1040,Solar Panels,26.0 / pallet,30,<h3>REC355NP2 Black</h3><h3><span style='color:#000'>Product Description</span></h3>NA<br/>,2023-11-09T08:37:35Z,858 / 40ft HQ Container,Solar & Energy Storage >> Solar Panels >> ,https://inxeptionmarketplace-crate.inxeption.com/purl/inxeptionenergymarketplace-premium-full-black-mono-n-type-solar-panels-350-370-watt-355w-,,120,REC Solar,Half-Cell,inxeptionmarketplace-app,355,2023-11-09T08:37:35Z,cldc4zbyeghe40872m4w5ig3q,,355,1755,REC355NP2 Black,inxeptionenergymarketplace,https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/b5df42e1-ddcb-4a85-a90c-63ec2d997cc6/PREMIUM%20FULL%20BLACK%20MONO%20N-TYPE%20SOLAR%20PANELS%20%3E%20350-370%20Watt%20%28355W%29_data.pdf,['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/96a08911-ca60-41c6-8c6f-18d8618111a6/PREMIUM%20FULL%20BLACK%20MONO%20N-TYPE%20SOLAR%20PANELS%20%3E%20350-370%20Watt%20%28355W%29_img.jpg'],355,20,Products,inxeptionenergymarketplace-premium-full-black-mono-n-type-solar-panels-350-370-watt-355w-,https://inxeptionmarketplace-app.inxeption.io,TRUE,inxeptionmarketplace-app,PREMIUM FULL BLACK MONO N-TYPE SOLAR PANELS > 350-370 Watt (355W),Solar & Energy Storage,Black,,,,,,,,,,,,,,
